"original_text","final_text","sentiment","sentiment_label","__index_level_0__"
"@hexagrap_id Melalui Undang-undang ini, pemerintah berupaya mengurangi birokrasi yang memperlambat pertumbuhan ekonomi","melalui undang-undang ini, pemerintah berupaya mengurangi birokrasi yang memperlambat pertumbuhan ekonomi",0,"negative",9987
"Gila gila nih kejaksaan agung capainnya dalam 100 hari kerja pada kabinet Merah Putih memuaskan sekali
#LoyalitasKejagung #febrieadriansyah #korupsitimah271T #BagimuNegeri #korupsi #kasuskorupsi #viral #kejagung #kejaksaanri #indonesiaemas2045 #fyp https://t.co/FLFiluyBui","gila gila nih kejaksaan agung capainnya dalam 100 hari kerja pada kabinet merah putih memuaskan sekali",1,"neutral",4776
"Halo #SobATRBPN, Simak bersama yuk video rekap 100 Hari Kerja Bersama Kabinet Merah Putih Presiden Prabowo Subianto berikut.

Melangkah ke depan dengan Optimis 🇮🇩🇮🇩🇮🇩

https://t.co/5wPHIcBINc","halo simak bersama yuk video rekap 100 hari kerja bersama kabinet merah putih presiden prabowo subianto berikut. melangkah ke depan dengan optimis 🇮🇩🇮🇩🇮🇩",2,"positive",4742
"@MurtadhaOne1 @prabowo @gibran_tweet @setkabgoid ini fungsinya apa","ini fungsinya apa",1,"neutral",3132
"@FradaRandi1 Tiga gebrakan ekonomi Prabowo hadapi tarif AS: mitra dagang diperbanyak, hilirisasi SDA, konsumsi domestik lebih kuat","tiga gebrakan ekonomi prabowo hadapi tarif as: mitra dagang diperbanyak, hilirisasi sda, konsumsi domestik lebih kuat",1,"neutral",6951
"Presiden Prabowo dorong UMKM naik kelas. @TelkomIndonesia dukung dengan OCA Interaction Lite untuk optimalkan bisnismu. @KemenBUMN #telkomindonesia #oca #ocainteraction #ukm #umkm #tepatsolutifindonesia #bumn #elevatingyourfuture https://t.co/fDpBWet5UQ","presiden prabowo dorong umkm naik kelas. dukung dengan oca interaction lite untuk optimalkan bisnismu.",1,"neutral",5918
"haloo,butuh joki tugas? yang spessnya? hadir disini yaa! lulusan ilmu politik, spess ilmu  pemerintahan, ilmu komunikasi, hubungan internasional, character building, PKN, Kewargangeraan, Bela Negara, dll yang trusted, fast work. testi 1400+ https://t.co/b0wRub4WIm #zonauang https://t.co/XyWJeYImAu","haloo,butuh joki tugas? yang spessnya? hadir disini yaa! lulusan ilmu politik, spess ilmu pemerintahan, ilmu komunikasi, hubungan internasional, character building, pkn, kewargangeraan, bela negara, dll yang trusted, fast work. testi 1400+",2,"positive",9189
"Keamanan nasional yang kokoh dan efisiensi tinggi kini sejajar berkat RUU TNI dengan bantuan tenaga profesional #RUUTNIPerkuatNKRI TNI Perkuat Pertahanan","keamanan nasional yang kokoh dan efisiensi tinggi kini sejajar berkat ruu tni dengan bantuan tenaga profesional tni perkuat pertahanan",2,"positive",6174
"Pada Minggu (06/04/2025), Presiden Prabowo Subianto melakukan pertemuan dengan 7 orang jurnalis dari 7 media yang berbeda di Hambalang, Jawa Barat. Melalui wawancara tersebut, Prabowo menjawab sejumlah pertanyaan seputar isu terkini. https://t.co/2SJeaq0xbW","pada minggu (06/04/2025), presiden prabowo subianto melakukan pertemuan dengan 7 orang jurnalis dari 7 media yang berbeda di hambalang, jawa barat. melalui wawancara tersebut, prabowo menjawab sejumlah pertanyaan seputar isu terkini.",0,"negative",6855
"@BattoAjax Asset mega jauh lebih besar di pemerintahan khususnya di parlemen sebagai partai pemenang pemilu, ketimbang Jokowi yang hanya mewariskan gibran sebagai wapres.","asset mega jauh lebih besar di pemerintahan khususnya di parlemen sebagai partai pemenang pemilu, ketimbang jokowi yang hanya mewariskan gibran sebagai wapres.",2,"positive",9022
"@KejaksaanRI Kok udah malah jadi juru bicaranya @pertamina ? Apa jangan - jangan udah dapat intervensi dari atas ya ? Setelah lakukan pertemuan tenga malam dengan @erickthohir Sebenarnya pemerintahan @prabowo @Gerindra serius mau berantas korupsi atau hanya omon - omon doang ?","kok udah malah jadi juru bicaranya ? apa jangan - jangan udah dapat intervensi dari atas ya ? setelah lakukan pertemuan tenga malam dengan sebenarnya pemerintahan serius mau berantas korupsi atau hanya omon - omon doang ?",0,"negative",2915
"Pemeriksaan kesehatan gratis untuk warga Indonesia! Sukseskan program Prabowo-Gibran demi masa depan yang sehat! #PemeriksaanKesehatanGratis https://t.co/aaTtMn4LUJ","pemeriksaan kesehatan gratis untuk warga indonesia! sukseskan program prabowo-gibran demi masa depan yang sehat!",2,"positive",2531
"Kami segenap keluarga besar Kotanopan mengapresiasi dan mendukung penuh atas pencapaian bersama 100 hari Kabinet Merah Putih 

Melangkah ke depan dengan optimis Menuju Indonesia Emas 2045 https://t.co/jXkePWb2Fx","kami segenap keluarga besar kotanopan mengapresiasi dan mendukung penuh atas pencapaian bersama 100 hari kabinet merah putih melangkah ke depan dengan optimis menuju indonesia emas 2045",2,"positive",4547
"@detikcom @SBYudhoyono serius ini totally pemerintahan prabowo? 
org pd ga percaya pak","serius ini totally pemerintahan prabowo? org pd ga percaya pak",0,"negative",2086
"@WillyUK777 @NenkMonica Trump inginkan investor masuk ke Amerika dengan membangun pabrik karena AS membebaskan pajak bagi yang produksi di dalam negeri. Langkah tersebut diambil untuk menambah lapangan kerja AS dan berupaya lakukan perundingan dengan semua negara 0 % eksport dari AS ke Luar. @prabowo","trump inginkan investor masuk ke amerika dengan membangun pabrik karena as membebaskan pajak bagi yang produksi di dalam negeri. langkah tersebut diambil untuk menambah lapangan kerja as dan berupaya lakukan perundingan dengan semua negara 0 % eksport dari as ke luar.",2,"positive",8103
"@Dahnilanzar @prabowo Kita sdh diajar oleh Founding father politik bebas aktif dan non blok agar politik dan ekonomi negara tidak dipermainkan dan merugikan bangsa dan negara. 
Ini salah satu dampak dari kecondongan ke Merah Asia.","kita sdh diajar oleh founding father politik bebas aktif dan non blok agar politik dan ekonomi negara tidak dipermainkan dan merugikan bangsa dan negara. ini salah satu dampak dari kecondongan ke merah asia.",0,"negative",5253
"Pemerintah terus bergerak maju—dari menjaga kestabilan ekonomi, menurunkan harga pangan, hingga mendorong pembangunan infrastruktur di berbagai daerah #IndonesiaMaju #FaktaBukanNarasi #KerjaNyata #OptimisIndonesia https://t.co/DWx5xayCRK","pemerintah terus bergerak maju—dari menjaga kestabilan ekonomi, menurunkan harga pangan, hingga mendorong pembangunan infrastruktur di berbagai daerah",1,"neutral",9509
"#SAVECASN2024
#TOLAKKEBIJAKANTMTSERENTAK 
Saya minta tolong kepada pa @prabowo @gibran_tweet untuk bisa meninjau keputusan untuk kami para CASN 2024 bisa di segerakan mendapatkan Hak TMT sesuai prediksi BKN sebelumnya🙏🏻 https://t.co/UCT10uVELs","saya minta tolong kepada pa untuk bisa meninjau keputusan untuk kami para casn 2024 bisa di segerakan mendapatkan hak tmt sesuai prediksi bkn sebelumnya🙏🏻",2,"positive",2732
"@niwseir Kalian semua orasi treak treak, demo berhari hari. Tetep kalah suara lantangnya dengan orang yg bisa ngomong langsung oleh pemerintah di debat pemilu. Anies ngomong tentang 11/100 ajh udah bikin galau kabinet. Jadi, kemarahan rakyat sekarang tuh udah disampaikan kemaren pemilu","kalian semua orasi treak treak, demo berhari hari. tetep kalah suara lantangnya dengan orang yg bisa ngomong langsung oleh pemerintah di debat pemilu. anies ngomong tentang 11/100 ajh udah bikin galau kabinet. jadi, kemarahan rakyat sekarang tuh udah disampaikan kemaren pemilu",0,"negative",3735
"@neohistoria_id Sebenernya klo mau ngelakuin sesuatu liat tujuannya, coba yg bantu2 itu pura2 aja pake atribut tulisan “Bantuan Prabowo” pasti yg ijo dan yg coklat bingung juga mau ngapain. Tujuannya tetep dapet, bantu yang lain.","sebenernya klo mau ngelakuin sesuatu liat tujuannya, coba yg bantu2 itu pura2 aja pake atribut tulisan “bantuan prabowo” pasti yg ijo dan yg coklat bingung juga mau ngapain. tujuannya tetep dapet, bantu yang lain.",1,"neutral",5893
"@Yurissa_Samosir @prabowo @choymarkochoy @ay_prakasa2225 @JamalBoegis @mattdilaga @msaid_didu @AmaluddinSSili1 @yaniarsim @PutriKayan16645 @nomerorae @Panitia68285950 Barang bukti yg kuat utk menjadi pintu masuk memakzulkan prabowo-gibran.

Bukti kecurangan pilpres itu nyata &amp; sudah terang benderang !!
Ayo rakyat 🇮🇩 bergerak !!
Ayo adek2 mahasiswa bergerak !!
Ayo makzulkan prabowo-gibran !!
Merdeka 🇮🇩 !!","barang bukti yg kuat utk menjadi pintu masuk memakzulkan prabowo-gibran. bukti kecurangan pilpres itu nyata &amp; sudah terang benderang !! ayo rakyat 🇮🇩 bergerak !! ayo adek2 mahasiswa bergerak !! ayo makzulkan prabowo-gibran !! merdeka 🇮🇩 !!",0,"negative",3185
"@dawgfromdahood Justru ini indikasi mereka takut gk si sama kita? makanya dia ngeluarin statement gitu. Karena kalo dia respon serius, malah bakal ngefek ke pemerintahan","justru ini indikasi mereka takut gk si sama kita? makanya dia ngeluarin statement gitu. karena kalo dia respon serius, malah bakal ngefek ke pemerintahan",0,"negative",9308
"sejak jaman @SBYudhoyono @jokowi &amp; skrg @prabowo , roadmap kemandirian dibangun setapak demi setapak. TKDN adlh slh satu contoh baik u/ membawa perimbangan ekonomi scr lbh adil, bhkn @Apple pun akhirnya patuh &amp; memberikan komitmen investasi &amp; membayar denda penundaan investasi","sejak jaman &amp; skrg , roadmap kemandirian dibangun setapak demi setapak. tkdn adlh slh satu contoh baik u/ membawa perimbangan ekonomi scr lbh adil, bhkn pun akhirnya patuh &amp; memberikan komitmen investasi &amp; membayar denda penundaan investasi",2,"positive",7515
"Hantam balik aja pak said didu...Presiden @prabowo sdh ""berpihak"" ke oligarki tampaknya, itu si Aguan ke istana sama naga2 cina,harus cara rakyat,maen hakim sendiri! Geruduk preman2 item, boyong2 tanah/calo/makelar termasuk Kades dan jawara dr jalur hitam, antek pik2 aguan cina! Merdeka!☝️🇲🇨","hantam balik aja pak said didu...presiden sdh ""berpihak"" ke oligarki tampaknya, itu si aguan ke istana sama naga2 cina,harus cara rakyat,maen hakim sendiri! geruduk preman2 item, boyong2 tanah/calo/makelar termasuk kades dan jawara dr jalur hitam, antek pik2 aguan cina! merdeka!☝️🇲🇨",1,"neutral",2011
"@Fahrihamzah Pekikan HIDUP JOKOWI dari Prabowo adalah penguat indikasi bahwa omongan anda itu bertolak belakang dengan kenyataan. Jangan lah presiden represif kepada rakyat nya yg kritis tetapi lembek kepada para koruptor dan pelanggar hukum yg bertebaran di sekeliling anda pak!","pekikan hidup jokowi dari prabowo adalah penguat indikasi bahwa omongan anda itu bertolak belakang dengan kenyataan. jangan lah presiden represif kepada rakyat nya yg kritis tetapi lembek kepada para koruptor dan pelanggar hukum yg bertebaran di sekeliling anda pak!",0,"negative",8419
"Kang @DediMulyadi71 @Gerindra bgtu juga presiden @prabowo rakytmu minta tolong🙏 https://t.co/PeiAL3phHE","kang bgtu juga presiden rakytmu minta tolong🙏",1,"neutral",2402
"https://t.co/rLS3hlZDfQ Postingan ini dibagikan via TikTok Lite. 
Tuh...Demo adili Jokowi dan menolak kebijakan Presiden yg baru 100 hari menjabat SDH di demo oleh Rakyatnya, sdi negara tetangga Taiwan...Malu, nga...malu'kan...","postingan ini dibagikan via tiktok lite. tuh...demo adili jokowi dan menolak kebijakan presiden yg baru 100 hari menjabat sdh di demo oleh rakyatnya, sdi negara tetangga taiwan...malu, nga...malu'kan...",0,"negative",1176
"Dulu juga dia bersaksi bahwah @prabowo di pecat orang yang lihai dan licin sepertia dia tidak akan mendapat manfaat bagi indonesia dia ketua ekonomi tapi dolar menembus terlemah dalam sejarah kerjanya apa coba itu data fakta lapangan!!","dulu juga dia bersaksi bahwah di pecat orang yang lihai dan licin sepertia dia tidak akan mendapat manfaat bagi indonesia dia ketua ekonomi tapi dolar menembus terlemah dalam sejarah kerjanya apa coba itu data fakta lapangan!!",0,"negative",4984
"Di bawah kepemimpinan Presiden Prabowo Subianto, Kabinet Merah Putih telah menorehkan banyak prestasi dan pencapaian.  

""Highlight 100 Hari Kabinet Merah Putih Membangun Negeri"" dapat disaksikan pada kanal Youtube BSIP Serealia.

https://t.co/Y0nzeC8ihJ","di bawah kepemimpinan presiden prabowo subianto, kabinet merah putih telah menorehkan banyak prestasi dan pencapaian. ""highlight 100 hari kabinet merah putih membangun negeri"" dapat disaksikan pada kanal youtube bsip serealia.",2,"positive",4722
"pak @prabowo tolong dengerin keluhan sebagian rakyatmu yg belum bisa hidup sejahtera.
Ingat pak, janji Bpk sebelum jadi presiden. akan mengejar koruptor sampai ke Antartika. Masih ingatkah bapak????
Di momen lebaran ini, bersihkan yg membuat kotor pemerintahan bapak. 
no omon2 😊 https://t.co/cSkuhS5KrD","pak tolong dengerin keluhan sebagian rakyatmu yg belum bisa hidup sejahtera. ingat pak, janji bpk sebelum jadi presiden. akan mengejar koruptor sampai ke antartika. masih ingatkah bapak???? di momen lebaran ini, bersihkan yg membuat kotor pemerintahan bapak. no omon2 😊",0,"negative",5005
"Wah di prediksi sama Prof Ferry pemerintahan @prabowo bisa digulingkan. Aku harus kasi keyakinan nih sama Prof. Bahwa @prabowo tdk mungkin di jatuhkan oleh Rakyat.. Percaya deh pemerintah udah On The Track kok, Bentar lagi Buruh Yg di PHK bisa kerja lagi @Dennysiregar7 @Gerindra https://t.co/vl2W8RROqh","wah di prediksi sama prof ferry pemerintahan bisa digulingkan. aku harus kasi keyakinan nih sama prof. bahwa tdk mungkin di jatuhkan oleh rakyat.. percaya deh pemerintah udah on the track kok, bentar lagi buruh yg di phk bisa kerja lagi",1,"neutral",2031
"@geloraco Akhirnya langkah konkret untuk berantas korupsi! Kami dukung penuh pemerintahan Prabowo dalam memberantas kejahatan ini!","akhirnya langkah konkret untuk berantas korupsi! kami dukung penuh pemerintahan prabowo dalam memberantas kejahatan ini!",0,"negative",2264
"ini pemerintahannya prabowo gibran kerja ga sih? negara kacau banget ini loh, gaada solusi pula!","ini pemerintahannya prabowo gibran kerja ga sih? negara kacau banget ini loh, gaada solusi pula!",0,"negative",2790
"@EmmanuelMacron @prabowo Jauh lebih mudah membangun Perdamaian daripada memulai dan menghentikan perang

Perang, penjara dan hukuman mati saya anggap tradisi warisan kerajaan purba yang mesti dihapus dari muka bumi

Para ahli hukum buntu pikirannya untuk mencapai pengetahuan ini","jauh lebih mudah membangun perdamaian daripada memulai dan menghentikan perang perang, penjara dan hukuman mati saya anggap tradisi warisan kerajaan purba yang mesti dihapus dari muka bumi para ahli hukum buntu pikirannya untuk mencapai pengetahuan ini",0,"negative",8294
"@FradaRandi1 Prabowo usung konsep baru: kerjasama dagang, hilirisasi SDA, dan perkuatan konsumsi lokal berpadu hadapi tarif","prabowo usung konsep baru: kerjasama dagang, hilirisasi sda, dan perkuatan konsumsi lokal berpadu hadapi tarif",1,"neutral",7753
"Yg dikhawatirkan:
- semua orang beli emas karna ketidakpastian ekonomi
- keran impor dibuka luas -&gt; rupiah melemah
- PHK dimana2 krna bisnis domestik ga bisa lawan impor
- kelas menengah kena dampak? Stabilitas negara rusak

Pemerintah harus perbaiki secepatnya sebelum terlambat","yg dikhawatirkan: - semua orang beli emas karna ketidakpastian ekonomi - keran impor dibuka luas -&gt; rupiah melemah - phk dimana2 krna bisnis domestik ga bisa lawan impor - kelas menengah kena dampak? stabilitas negara rusak pemerintah harus perbaiki secepatnya sebelum terlambat",2,"positive",9567
"Dukungan internet berkecepatan tinggi dari @TelkomIndonesia sukseskan peresmian 17 stadion oleh Presiden Prabowo. Koneksi stabil, olahraga makin berkembang! @KemenBUMN #telkomindonesia #stadion #presidenprabowo #fifa #umkm #tepatsolutifindonesia #bumn #elevatingyourfuture https://t.co/EGkwHdsLSm","dukungan internet berkecepatan tinggi dari sukseskan peresmian 17 stadion oleh presiden prabowo. koneksi stabil, olahraga makin berkembang!",2,"positive",5988
"@Piyusaja2 @prabowo @gibran_tweet Walaupun ada perkataan nya si fufufafa seperti itu,tapi pak Prabowo gak akan berani bertindak tegas terhadap fufufafa ini, soalnya sama-sama menyandera kasus hukum.","walaupun ada perkataan nya si fufufafa seperti itu,tapi pak prabowo gak akan berani bertindak tegas terhadap fufufafa ini, soalnya sama-sama menyandera kasus hukum.",2,"positive",8517
"@diarivory Terkait kritis RUU TNI : 
1) Yang Posting Buzzer.
2) Yang Komentar Buzzer.
3). Yang Demo Buzzer.
Sampai di sini kalian paham kan adek-adek..","terkait kritis ruu tni : 1) yang posting buzzer. 2) yang komentar buzzer. 3). yang demo buzzer. sampai di sini kalian paham kan adek-adek..",0,"negative",7356
"Konglomerat yang juga investor asal Amerika Serikat (AS), Ray Dalio meyakini bahwa Presiden Prabowo Subianto mampu melakukan reformasi agar  pengelolaan invetasi Indonesia bisa menjadi lebih baik.

Hal ini  disampaikan Ray Dalio dalam pertemuannya dengan Presiden Prabowo  Subianto yang turut dihadiri oleh sejumlah pengusaha swasta Tanah Air di  Istana Merdeka, Jakarta, Jumat (7/3/2025).

""Menurut saya Prabowo  adalah orang yang tepat, dan membuat saya mau kemari untuk bertemu  dengan Anda langsung, karena kita telah membahas tentang ini,"" ucap Ray  Dalio.

Lebih lanjut, Dia menegaskan, bahwa kehadirannya ke  Indonesia bukan karena uang. Melainkan, untuk berkontribusi terhadap  perekonomian Indonesia untuk melakukan lompatan.","konglomerat yang juga investor asal amerika serikat (as), ray dalio meyakini bahwa presiden prabowo subianto mampu melakukan reformasi agar pengelolaan invetasi indonesia bisa menjadi lebih baik. hal ini disampaikan ray dalio dalam pertemuannya dengan presiden prabowo subianto yang turut dihadiri oleh sejumlah pengusaha swasta tanah air di istana merdeka, jakarta, jumat (7/3/2025). ""menurut saya prabowo adalah orang yang tepat, dan membuat saya mau kemari untuk bertemu dengan anda langsung, karena kita telah membahas tentang ini,"" ucap ray dalio. lebih lanjut, dia menegaskan, bahwa kehadirannya ke indonesia bukan karena uang. melainkan, untuk berkontribusi terhadap perekonomian indonesia untuk melakukan lompatan.",2,"positive",2134
"mau main kuda bareng itu, ya kan wok @prabowo","mau main kuda bareng itu, ya kan wok",1,"neutral",6584
"Penegakan hukum itu penting, betul. Cuma Presiden @prabowo @gibran_tweet perlu imbangi dengan sosialisasi dan komunikasi dg publik soal kebijakan, proyek2 besar, stimulus ekonomi, atau apapun yg bisa jaga optimisme/harapan masyarakat/pasar.","penegakan hukum itu penting, betul. cuma presiden perlu imbangi dengan sosialisasi dan komunikasi dg publik soal kebijakan, proyek2 besar, stimulus ekonomi, atau apapun yg bisa jaga optimisme/harapan masyarakat/pasar.",2,"positive",6107
"@Kimberley_PS08 ruu TNI rapatnya diam2 dihotel pula kan tai kotok disambelin rezim @prabowo !!! sesuai UU nya dimane tante?","ruu tni rapatnya diam2 dihotel pula kan tai kotok disambelin rezim !!! sesuai uu nya dimane tante?",1,"neutral",7632
"@msobri99 Tambahin:
Presiden yg +/- 100 hari masa kerjanya, fotonya dibakar oleh demontran","tambahin: presiden yg +/- 100 hari masa kerjanya, fotonya dibakar oleh demontran",0,"negative",1189
"@FradaRandi1 Prabowo siap kembangkan ekonomi dengan taktik baru: mitra dagang diperluas, SDA dimanfaatkan maksimal, konsumsi domestik jadi kekuatan lawan tarif impor AS","prabowo siap kembangkan ekonomi dengan taktik baru: mitra dagang diperluas, sda dimanfaatkan maksimal, konsumsi domestik jadi kekuatan lawan tarif impor as",1,"neutral",6666
"@zainalamochtar Kenapa sih itu org2 menempatkan presiden seolah2 kek bayi yg gatau apa2, gak ikut2an dlm kebijakan ngawur yg dibuat padahal ibarat rumah presiden nih kepala rumahnya, yakaliii gatau, gak terlibat, dan diem aja bawahan2nya ngadi2 gitu","kenapa sih itu org2 menempatkan presiden seolah2 kek bayi yg gatau apa2, gak ikut2an dlm kebijakan ngawur yg dibuat padahal ibarat rumah presiden nih kepala rumahnya, yakaliii gatau, gak terlibat, dan diem aja bawahan2nya ngadi2 gitu",0,"negative",13
"@FnGena107 @aidonkerr @Ekososbudhamkam @KompasTV @prabowo @DediMulyadi71 MBG solusi utk segala nya
Termasuk lawan kebijakan AS soal tarif impor
Amazing, right !!!","mbg solusi utk segala nya termasuk lawan kebijakan as soal tarif impor amazing, right !!!",0,"negative",7629
"@tempodotco Beneran, ne, Pak Wo?
Keknya Pak Wo lbh setia sm Oknum Pengsiunan yg tlh membantu Pak Wo jd Presiden, ketimbang ""Setia"" pd rakyat sprti janji Kampanye Pak Wo dl, yg katanya mo ""Timbul tenggelam bersama rakyat"",trnyta cuman Omon2 doang"". Buktinya skrg Pak wo lbh memilih Mulyono?😎","beneran, ne, pak wo? keknya pak wo lbh setia sm oknum pengsiunan yg tlh membantu pak wo jd presiden, ketimbang ""setia"" pd rakyat sprti janji kampanye pak wo dl, yg katanya mo ""timbul tenggelam bersama rakyat"",trnyta cuman omon2 doang"". buktinya skrg pak wo lbh memilih mulyono?😎",2,"positive",3392
"KOMITMEN PRESIDEN PRABOWO SUBIANTO MENINDAK TEGAS MAFIA MIGAS DEMI KEADILAN DAN KEMAKMURAN BANGSA https://t.co/pqRNrztmYO","komitmen presiden prabowo subianto menindak tegas mafia migas demi keadilan dan kemakmuran bangsa",2,"positive",2305
"100 Hari Kabinet Merah Putih Presiden Republik Indonesia Prabowo Subianto dan Wakil Presiden Gibran Rakabuming Raka.
""Bersama Indonesia Maju Menuju Indonesia Emas 2045""
.
#kabinetmerahputih #merahputih #kemenimipas #prabowosubianto #gibranrakabumingraka https://t.co/lNIU0whI6E","100 hari kabinet merah putih presiden republik indonesia prabowo subianto dan wakil presiden gibran rakabuming raka. ""bersama indonesia maju menuju indonesia emas 2045"" .",2,"positive",4627
"@V3g3L Woi @prabowo, @gibran_tweet elu berdua sadar gak sih kalo negeri yg lu pimpin ini isinya kebanyakan preman !!!!!

Tolong dikondisikan dong","woi elu berdua sadar gak sih kalo negeri yg lu pimpin ini isinya kebanyakan preman !!!!! tolong dikondisikan dong",1,"neutral",2641
"@Mdy_Asmara1701 Seandainya suatu saat Indonesia diinvasi asing, solusi dari Prabowo juga MBG.","seandainya suatu saat indonesia diinvasi asing, solusi dari prabowo juga mbg.",1,"neutral",7431
"Memangnya, siapa sih yang layak dan pantas jadi Presiden Indonesia?","memangnya, siapa sih yang layak dan pantas jadi presiden indonesia?",2,"positive",408
"@tanyarlfes Yappp, dan ntah kenapa kalo disuruh sebutin Presiden Indonesia, sampe sekarang di kepalaku cuman muncul sampe 6 nama doang :))","yappp, dan ntah kenapa kalo disuruh sebutin presiden indonesia, sampe sekarang di kepalaku cuman muncul sampe 6 nama doang :))",1,"neutral",4853
"@Duren___ @prabowo IHSG bukan karena kebijakan Amerika tetapi kepastian hukum yang ada di Indonesia lebih kuat peraturan dibanding undang undang. Dimana dalam pembuatan peraturan Indonesia atau badan tertentu tidak melibatkan dpr ri dan rakyat sehingga peraturan blundar dengan undang2","ihsg bukan karena kebijakan amerika tetapi kepastian hukum yang ada di indonesia lebih kuat peraturan dibanding undang undang. dimana dalam pembuatan peraturan indonesia atau badan tertentu tidak melibatkan dpr ri dan rakyat sehingga peraturan blundar dengan undang2",0,"negative",8251
"Dalam masa 100 hari kerja Kabinet Merah  Putih, WIKA berhasil selesaikan dan operasikan Sistem Penyediaan Air  Minum (SPAM) Regional Jatiluhur 1. Proyek strategis ini bertujuan  memenuhi kebutuhan air bersih di wilayah Jabodetabek dan Jawa Barat.","dalam masa 100 hari kerja kabinet merah putih, wika berhasil selesaikan dan operasikan sistem penyediaan air minum (spam) regional jatiluhur 1. proyek strategis ini bertujuan memenuhi kebutuhan air bersih di wilayah jabodetabek dan jawa barat.",2,"positive",3986
"@dheppylovelly Mantap, IHSG naik 4,79%! Ekonomi makin kuat, rakyat dan pemerintah solid","mantap, ihsg naik 4,79%! ekonomi makin kuat, rakyat dan pemerintah solid",0,"negative",9716
"@narkosun Dulu ceritanya di Twitter menyebut Natalius Pigai dengan menyamakan dengan ""M"" yang belum selesai ber-evolusi, lalu akan di bawa ke jalur hukum oleh NP tetapi di damaikan oleh Dasco yang mungkin pakai syarat menjadi pendukung &amp; buzzer Prabowo, sejak itu berubah 180°","dulu ceritanya di twitter menyebut natalius pigai dengan menyamakan dengan ""m"" yang belum selesai ber-evolusi, lalu akan di bawa ke jalur hukum oleh np tetapi di damaikan oleh dasco yang mungkin pakai syarat menjadi pendukung &amp; buzzer prabowo, sejak itu berubah 180°",0,"negative",8070
